id,degree,size,salary,position_name
558d2bbc1dc76a2178188d1a,1,4,1,会计
558d2bbd1dc76a2178188e0b,1,6,3,技术支持
558d2bbd1dc76a2178188e46,0,4,2,项目经理
558d2bbd1dc76a2178188e69,2,6,6,项目经理
558d2bbd1dc76a2178188e7b,1,5,3,开发工程师
558d2bbd1dc76a2178188e9e,1,4,3,开发工程师
558d2bbd1dc76a2178188ee9,1,2,3,市场经理
558d2bbd1dc76a2178188ef2,1,2,0,销售专员
558d2bc01dc76a217818908c,1,2,2,软件测试
558d2bc01dc76a21781890e8,1,3,4,开发工程师
558d2bc11dc76a2178189163,1,3,2,开发工程师
558d2bc11dc76a217818918f,1,4,4,技术支持
558d2bc11dc76a2178189213,1,1,1,技术支持
558d2bc21dc76a2178189308,1,4,4,销售经理
558d2bc31dc76a2178189348,2,4,4,项目经理
558d2bc41dc76a21781894d8,1,3,2,技术支持
558d2bc41dc76a217818950f,0,3,2,技术支持
558d2bc41dc76a2178189541,1,2,2,技术支持
558d2bc61dc76a2178189672,0,2,2,项目经理
558d2bc71dc76a21781896c1,0,5,1,技术支持
558d2bc91dc76a2178189924,1,3,4,项目经理
558d2bcb1dc76a2178189a48,1,6,2,销售经理
558d2bcb1dc76a2178189a71,1,1,2,技术支持
558d2bcb1dc76a2178189b32,1,3,1,技术支持
558d2bcc1dc76a2178189be4,0,2,1,技术支持
558d2bcf1dc76a2178189f01,0,3,1,技术支持
558d2bd01dc76a2178189fda,1,5,1,技术支持
558d2bd01dc76a217818a005,2,4,6,人力资源专员
558d2bd01dc76a217818a0b2,0,3,1,技术支持
558d2bd11dc76a217818a106,1,3,1,技术支持
558d2bd11dc76a217818a140,1,5,2,软件测试
558d2bd11dc76a217818a177,0,3,3,销售专员
558d2bd11dc76a217818a179,0,3,3,生产经理
558d2bd21dc76a217818a2e4,1,5,3,生产专员
558d2bd31dc76a217818a321,1,5,4,质量(QA/QC)
558d2bd31dc76a217818a387,1,5,1,技术支持
558d2bd31dc76a217818a3d8,0,3,2,技术支持
558d2bd41dc76a217818a42a,1,5,3,软件测试
558d2bd41dc76a217818a471,0,4,3,技术支持
558d2bd61dc76a217818a538,1,3,2,技术支持
558d2bd61dc76a217818a5ae,1,6,6,市场专员
558d2bd61dc76a217818a5b9,1,3,4,项目经理
558d2bd91dc76a217818a771,1,5,5,项目经理
558d2bd91dc76a217818a779,0,5,3,项目经理
558d2bd91dc76a217818a77d,1,3,2,技术支持
558d2bda1dc76a217818a90c,1,1,2,技术支持
558d2bdc1dc76a217818aaa0,0,4,2,开发工程师
558d2bdd1dc76a217818ab9c,0,4,2,软件测试
558d2bdd1dc76a217818abab,0,4,1,技术支持
558d2bdd1dc76a217818ac7d,1,4,1,销售专员
558d2bde1dc76a217818acb8,1,2,5,技术支持
558d2bdf1dc76a217818adcf,1,4,3,项目经理
558d2be01dc76a217818af3f,1,6,1,技术支持
558d2be11dc76a217818afe0,1,4,1,技术支持
558d2be31dc76a217818b24e,0,3,2,技术支持
558d2be31dc76a217818b25d,1,4,2,技术支持
558d2be41dc76a217818b2bf,1,5,2,销售经理
558d2be41dc76a217818b2ca,2,1,5,开发工程师
558d2be41dc76a217818b2dd,1,3,5,销售经理
558d2be71dc76a217818b492,0,6,1,技术支持
558d2be71dc76a217818b537,1,5,1,销售专员
558d2be71dc76a217818b599,1,5,2,技术支持
558d2be81dc76a217818b664,1,5,3,开发工程师
558d2be81dc76a217818b6e9,1,5,5,项目经理
558d2be91dc76a217818b71a,0,3,3,技术支持
558d2be91dc76a217818b79c,1,3,5,开发工程师
558d2bea1dc76a217818b8c6,0,3,1,技术支持
